Package,Class Name,TCC
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.Segment,Segment,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.SimpleEntry,SimpleEntry,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.SoftKeyReference,SoftKeyReference,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.SoftValueReference,SoftValueReference,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.ValueIterator,ValueIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.Values,Values,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.WeakKeyReference,WeakKeyReference,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.WeakValueReference,WeakValueReference,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.WriteThroughEntry,WriteThroughEntry,0.00
org.apache.commons.collections4.map.LazyMap,LazyMap,0.00
org.apache.commons.collections4.map.SingletonMap,SingletonMap,0.00
org.apache.commons.collections4.map.SingletonMap.SingletonMapIterator,SingletonMapIterator,0.00
org.apache.commons.collections4.map.SingletonMap.SingletonValues,SingletonValues,0.00
org.apache.commons.collections4.map.AbstractIterableMap,AbstractIterableMap,0.00
org.apache.commons.collections4.MapUtils,MapUtils,0.00
org.apache.commons.collections4.FactoryUtils,FactoryUtils,0.00
org.apache.commons.collections4.multimap.ArrayListValuedHashMap,ArrayListValuedHashMap,0.00
org.apache.commons.collections4.multimap.AbstractListValuedMap,AbstractListValuedMap,0.00
org.apache.commons.collections4.multimap.AbstractListValuedMap.ValuesListIterator,ValuesListIterator,0.00
org.apache.commons.collections4.multimap.AbstractListValuedMap.WrappedList,WrappedList,0.00
org.apache.commons.collections4.multimap.HashSetValuedHashMap,HashSetValuedHashMap,0.00
org.apache.commons.collections4.multimap.TransformedMultiValuedMap,TransformedMultiValuedMap,0.00
org.apache.commons.collections4.multimap.AbstractSetValuedMap,AbstractSetValuedMap,0.00
org.apache.commons.collections4.multimap.AbstractSetValuedMap.WrappedSet,WrappedSet,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap,AbstractMultiValuedMap,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.AsMap,AsMap,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.AsMap.AsMapEntrySet,AsMapEntrySet,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.AsMap.AsMapEntrySetIterator,AsMapEntrySetIterator,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.EntryValues,EntryValues,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.KeysMultiSet,KeysMultiSet,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.KeysMultiSet.MapEntryTransformer,MapEntryTransformer,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.MultiValuedMapEntry,MultiValuedMapEntry,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.MultiValuedMapIterator,MultiValuedMapIterator,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.Values,Values,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMap.WrappedCollection,WrappedCollection,0.00
org.apache.commons.collections4.multimap.AbstractMultiValuedMapDecorator,AbstractMultiValuedMapDecorator,0.00
org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMap,UnmodifiableMultiValuedMap,0.00
org.apache.commons.collections4.EnumerationUtils,EnumerationUtils,0.00
org.apache.commons.collections4.splitmap.TransformedSplitMap,TransformedSplitMap,0.00
org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator,AbstractIterableGetMapDecorator,0.00
org.apache.commons.collections4.TrieUtils,TrieUtils,0.00
org.apache.commons.collections4.FunctorException,FunctorException,0.00
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap,UnmodifiableSortedBidiMap,0.00
org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,AbstractBidiMapDecorator,0.00
org.apache.commons.collections4.bidimap.UnmodifiableBidiMap,UnmodifiableBidiMap,0.00
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,AbstractOrderedBidiMapDecorator,0.00
org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap,UnmodifiableOrderedBidiMap,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap,AbstractDualBidiMap,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.BidiMapIterator,BidiMapIterator,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySet,EntrySet,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySetIterator,EntrySetIterator,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySet,KeySet,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySetIterator,KeySetIterator,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.MapEntry,MapEntry,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.Values,Values,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View,View,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap,TreeBidiMap,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.AbstractView,AbstractView,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.AbstractViewIterator,AbstractViewIterator,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.EntryView,EntryView,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.Inverse,Inverse,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.InverseEntryView,InverseEntryView,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.InverseViewMapEntryIterator,InverseViewMapEntryIterator,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.InverseViewMapIterator,InverseViewMapIterator,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.KeyView,KeyView,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.Node,Node,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.ValueView,ValueView,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.ViewMapEntryIterator,ViewMapEntryIterator,0.00
org.apache.commons.collections4.bidimap.TreeBidiMap.ViewMapIterator,ViewMapIterator,0.00
org.apache.commons.collections4.bidimap.DualTreeBidiMap,DualTreeBidiMap,0.00
org.apache.commons.collections4.bidimap.DualTreeBidiMap.BidiOrderedMapIterator,BidiOrderedMapIterator,0.00
org.apache.commons.collections4.bidimap.DualTreeBidiMap.ViewMap,ViewMap,0.00
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator,AbstractSortedBidiMapDecorator,0.00
org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap,DualLinkedHashBidiMap,0.00
org.apache.commons.collections4.bidimap.DualHashBidiMap,DualHashBidiMap,0.00
org.apache.commons.collections4.ComparatorUtils,ComparatorUtils,0.00
org.apache.commons.collections4.set.PredicatedSet,PredicatedSet,0.00
org.apache.commons.collections4.set.AbstractSerializableSetDecorator,AbstractSerializableSetDecorator,0.00
org.apache.commons.collections4.set.TransformedSortedSet,TransformedSortedSet,0.00
org.apache.commons.collections4.set.PredicatedSortedSet,PredicatedSortedSet,0.00
org.apache.commons.collections4.set.AbstractSortedSetDecorator,AbstractSortedSetDecorator,0.00
org.apache.commons.collections4.set.AbstractNavigableSetDecorator,AbstractNavigableSetDecorator,0.00
org.apache.commons.collections4.set.PredicatedNavigableSet,PredicatedNavigableSet,0.00
org.apache.commons.collections4.set.AbstractSetDecorator,AbstractSetDecorator,0.00
